n_hidden,n_layers,dropout,lr,bottleneck,train loss,train accuracy,val loss,val accuracy
16,2,0.5,0.01,True,0.56510329246521,0.7388336658477783,0.5608707070350647,0.7370062470436096
16,2,0.5,0.01,False,0.4946788251399994,0.7972251176834106,0.501257061958313,0.7884615659713745
16,2,0.5,0.1,True,2.8270983695983887,0.5071226954460144,2.784447193145752,0.5088357329368591
16,2,0.5,0.1,False,1.7089365720748901,0.5054904222488403,1.65912926197052,0.5057172775268555
16,2,0.5,0.001,True,0.6779027581214905,0.505416214466095,0.6795446276664734,0.5051975250244141
16,2,0.5,0.001,False,0.6780278086662292,0.516471266746521,0.6789777278900146,0.5114344954490662
16,2,0.5,0.0001,True,0.6871911883354187,0.5068259239196777,0.6877418756484985,0.5077962875366211
16,2,0.5,0.0001,False,0.6918129920959473,0.5461492538452148,0.6922127604484558,0.5337837934494019
16,2,0.8,0.01,True,0.591218113899231,0.6909037232398987,0.6109750866889954,0.6834719181060791
16,2,0.8,0.01,False,0.6573195457458496,0.632809042930603,0.650781512260437,0.6335758566856384
16,2,0.8,0.1,True,0.695904016494751,0.5521590709686279,0.7205923199653625,0.5446985363960266
16,2,0.8,0.1,False,1.651684284210205,0.5155067443847656,1.6400188207626343,0.5114344954490662
16,2,0.8,0.001,True,0.6678957343101501,0.5504525899887085,0.6786045432090759,0.5462577939033508
16,2,0.8,0.001,False,0.6761195659637451,0.5166938900947571,0.6762732267379761,0.5145530104637146
16,2,0.8,0.0001,True,0.6915452480316162,0.5906662940979004,0.6914788484573364,0.5758835673332214
16,2,0.8,0.0001,False,0.6872836947441101,0.5216649174690247,0.6906522512435913,0.5218295454978943
16,3,0.0,0.01,True,0.5746522545814514,0.7031458616256714,0.5701355338096619,0.6964656710624695
16,3,0.0,0.01,False,0.5303208827972412,0.7092298269271851,0.5322756767272949,0.7063409686088562
16,3,0.0,0.1,True,0.7087686657905579,0.5,0.7099765539169312,0.5
16,3,0.0,0.1,False,7.7214460372924805,0.5,7.633684158325195,0.5
16,3,0.0,0.001,True,0.6685588359832764,0.5,0.6707864999771118,0.5
16,3,0.0,0.001,False,0.6586003303527832,0.5,0.6612945795059204,0.5
16,3,0.0,0.0001,True,0.6917420029640198,0.505416214466095,0.691946268081665,0.5031185150146484
16,3,0.0,0.0001,False,0.6890642046928406,0.5,0.6893958449363708,0.5
16,3,0.3,0.01,True,0.583868682384491,0.714126706123352,0.5862906575202942,0.7032224535942078
16,3,0.3,0.01,False,0.6736208200454712,0.5166196823120117,0.6743729114532471,0.5161122679710388
16,3,0.3,0.1,True,0.6911343932151794,0.5002225637435913,0.6933345794677734,0.5010395050048828
16,3,0.3,0.1,False,1.8482801914215088,0.5022258758544922,1.8432483673095703,0.5010395050048828
16,3,0.3,0.001,True,0.6711148619651794,0.5,0.67377108335495,0.5
16,3,0.3,0.001,False,0.6718001961708069,0.5046742558479309,0.6749250292778015,0.502598762512207
16,3,0.3,0.0001,True,0.6912899017333984,0.5162487030029297,0.6915827393531799,0.5171517729759216
16,3,0.3,0.0001,False,0.6915614604949951,0.5006677508354187,0.6915834546089172,0.5010395050048828
16,3,0.5,0.01,True,0.6684587597846985,0.5317554473876953,0.6706418395042419,0.5322245359420776
16,3,0.5,0.01,False,0.49850302934646606,0.7707374691963196,0.49535754323005676,0.7770270109176636
16,3,0.5,0.1,True,0.6889433264732361,0.5,0.6901031732559204,0.49688148498535156
16,3,0.5,0.1,False,2.714725971221924,0.5000742077827454,2.6477954387664795,0.5010395050048828
16,3,0.5,0.001,True,0.6820831894874573,0.5020032525062561,0.683635413646698,0.5015592575073242
16,3,0.5,0.001,False,0.6809081435203552,0.5000742077827454,0.6830433011054993,0.5
16,3,0.5,0.0001,True,0.6931313276290894,0.5621753931045532,0.6931326985359192,0.5462577939033508
16,3,0.5,0.0001,False,0.687553346157074,0.5063807964324951,0.6880238056182861,0.5036382675170898
16,3,0.8,0.01,True,0.6803727746009827,0.5429589152336121,0.6810154318809509,0.5348232984542847
16,3,0.8,0.01,False,0.6547272801399231,0.634589672088623,0.6541703343391418,0.6252598762512207
16,3,0.8,0.1,True,0.7020480632781982,0.5025226473808289,0.7036435008049011,0.502598762512207
16,3,0.8,0.1,False,2.7530431747436523,0.5018548965454102,2.4888007640838623,0.5010395050048828
16,3,0.8,0.001,True,0.6924843788146973,0.6230894923210144,0.6927338242530823,0.6242203712463379
16,3,0.8,0.001,False,0.6818432211875916,0.516322910785675,0.6855008006095886,0.5155925154685974
16,3,0.8,0.0001,True,0.6930562257766724,0.5464460849761963,0.6929778456687927,0.5498960614204407
16,3,0.8,0.0001,False,0.691953718662262,0.532794177532196,0.6920037865638733,0.5332640409469604
16,4,0.0,0.01,True,0.5890768766403198,0.7335658073425293,0.5869489312171936,0.7318087220191956
16,4,0.0,0.01,False,0.5402820706367493,0.7328238487243652,0.5345258712768555,0.7390852570533752
16,4,0.0,0.1,True,0.6943382620811462,0.5,0.6945186853408813,0.5
16,4,0.0,0.1,False,0.9206660985946655,0.5,0.918489396572113,0.5
16,4,0.0,0.001,True,0.6928410530090332,0.6801454424858093,0.6928310990333557,0.6886694431304932
16,4,0.0,0.001,False,0.6430451273918152,0.5333877205848694,0.6419792175292969,0.5369023084640503
16,4,0.0,0.0001,True,0.6931472420692444,0.5,0.6931473016738892,0.5
16,4,0.0,0.0001,False,0.6928732395172119,0.5,0.6929174065589905,0.5
16,4,0.3,0.01,True,0.6662479639053345,0.5314586758613586,0.6683857440948486,0.5296257734298706
16,4,0.3,0.01,False,0.5493955612182617,0.7152396440505981,0.5436678528785706,0.7193347215652466
16,4,0.3,0.1,True,0.6931656002998352,0.5,0.6931655406951904,0.5
16,4,0.3,0.1,False,2.806994676589966,0.5,2.788912296295166,0.5
16,4,0.3,0.001,True,0.6931248903274536,0.5514913201332092,0.6931334137916565,0.5509355664253235
16,4,0.3,0.001,False,0.6729723215103149,0.5006677508354187,0.6772546172142029,0.5
16,4,0.3,0.0001,True,0.6931469440460205,0.6308799386024475,0.6931468844413757,0.6107068657875061
16,4,0.3,0.0001,False,0.6924054622650146,0.5028194189071655,0.6924912929534912,0.5015592575073242
16,4,0.5,0.01,True,0.6613354682922363,0.690755307674408,0.6609093546867371,0.662162184715271
16,4,0.5,0.01,False,0.6124532222747803,0.7130138278007507,0.6073352098464966,0.7125779390335083
16,4,0.5,0.1,True,0.6928948163986206,0.5,0.6929256319999695,0.5
16,4,0.5,0.1,False,5.014455795288086,0.5115002393722534,5.21207332611084,0.5072765350341797
16,4,0.5,0.001,True,0.6890915036201477,0.5001484155654907,0.6894134283065796,0.5005197525024414
16,4,0.5,0.001,False,0.685664176940918,0.5081614255905151,0.686168372631073,0.5062370300292969
16,4,0.5,0.0001,True,0.6931472420692444,0.5083098411560059,0.6931471824645996,0.5072765350341797
16,4,0.5,0.0001,False,0.6929764151573181,0.5092743635177612,0.6928909420967102,0.5083159804344177
16,4,0.8,0.01,True,0.6919066309928894,0.5086066126823425,0.7040078639984131,0.5103949904441833
16,4,0.8,0.01,False,0.6532394289970398,0.5920760035514832,0.6752565503120422,0.5800415873527527
16,4,0.8,0.1,True,0.6908517479896545,0.5,0.6911658644676208,0.5
16,4,0.8,0.1,False,0.6905632019042969,0.5656625628471375,0.6944301128387451,0.5592515468597412
16,4,0.8,0.001,True,0.6930456161499023,0.5445911884307861,0.6931415796279907,0.5285862684249878
16,4,0.8,0.001,False,0.6913699507713318,0.5137260556221008,0.692624568939209,0.5135135054588318
16,4,0.8,0.0001,True,0.6929028034210205,0.5616560578346252,0.6926068663597107,0.5498960614204407
16,4,0.8,0.0001,False,0.6918350458145142,0.5440717935562134,0.6932288408279419,0.5395010113716125
16,5,0.0,0.01,True,0.5908701419830322,0.7133105993270874,0.5863339900970459,0.7079002261161804
16,5,0.0,0.01,False,0.6786048412322998,0.5001484155654907,0.6795422434806824,0.5
16,5,0.0,0.1,True,0.6931472420692444,0.5,0.6931473016738892,0.5
16,5,0.0,0.1,False,1.034244179725647,0.5,1.031867504119873,0.5
16,5,0.0,0.001,True,0.693139910697937,0.5,0.693139910697937,0.5
16,5,0.0,0.001,False,0.6732900142669678,0.5,0.6764348149299622,0.5
16,5,0.0,0.0001,True,0.6931472420692444,0.5,0.6931473016738892,0.5
16,5,0.0,0.0001,False,0.6920042037963867,0.5,0.6920925378799438,0.5
16,5,0.3,0.01,True,0.6765635013580322,0.5,0.680705726146698,0.5
16,5,0.3,0.01,False,0.5474733710289001,0.7354207038879395,0.540374219417572,0.7432432174682617
16,5,0.3,0.1,True,0.6931520104408264,0.5,0.6931518912315369,0.5
16,5,0.3,0.1,False,0.8192260265350342,0.5,0.815963625907898,0.5
